trxn_amt,qty,cust_age,fraudulent,acct_age_days,trxn_hour,year,month,day,pmt_method_PayPal,pmt_method_bank transfer,pmt_method_credit card,pmt_method_debit card,product_cat_clothing,product_cat_electronics,product_cat_health & beauty,product_cat_home & garden,product_cat_toys & games,cust_device_desktop,cust_device_mobile,cust_device_tablet
118.37,4,31,0,58,7,2024,2,21,False,False,True,False,True,False,False,False,False,False,True,False
29.81,1,23,0,261,13,2024,3,29,False,False,True,False,True,False,False,False,False,False,False,True
133.73,3,41,0,126,6,2024,4,5,False,True,False,False,False,False,False,True,False,False,False,True
406.36,4,36,0,20,7,2024,3,8,False,False,True,False,False,False,False,False,True,False,True,False
369.52,4,49,0,307,16,2024,3,3,False,False,True,False,False,False,False,True,False,False,True,False
319.71,1,42,0,91,9,2024,3,1,False,True,False,False,False,False,False,True,False,False,True,False
307.37,2,32,1,166,19,2024,1,20,False,True,False,False,False,False,False,True,False,True,False,False
62.27,1,25,0,159,3,2024,1,8,True,False,False,False,False,False,True,False,False,False,True,False
150.43,4,39,0,43,17,2024,3,25,False,False,True,False,False,False,False,True,False,True,False,False
30.32,2,45,0,339,8,2024,1,24,False,True,False,False,False,False,False,False,True,False,True,False
85.85,1,47,0,356,3,2024,4,7,True,False,False,False,False,True,False,False,False,False,False,True
139.6,5,45,0,300,6,2024,3,12,False,False,False,True,False,True,False,False,False,False,True,False
148.16,5,25,0,99,15,2024,1,12,True,False,False,False,False,False,True,False,False,False,False,True
725.62,1,29,0,152,12,2024,2,3,False,True,False,False,True,False,False,False,False,False,False,True
348.88,3,39,0,143,14,2024,3,1,False,True,False,False,False,False,False,True,False,False,True,False
213.2,2,27,0,218,17,2024,4,1,False,False,False,True,False,False,True,False,False,False,True,False
190.99,2,34,0,136,5,2024,3,25,False,False,False,True,False,False,True,False,False,False,False,True
472.03,2,23,0,73,3,2024,3,4,True,False,False,False,False,False,False,False,True,True,False,False
41.27,4,40,0,204,17,2024,1,22,False,False,False,True,False,False,False,True,False,True,False,False
144.69,2,38,0,34,11,2024,1,14,False,False,False,True,False,False,False,True,False,False,True,False
214.82,4,38,0,365,0,2024,2,21,False,False,False,True,True,False,False,False,False,False,True,False
23.73,5,42,0,192,22,2024,3,3,False,True,False,False,True,False,False,False,False,False,False,True
186.01,1,39,0,273,8,2024,1,19,True,False,False,False,False,False,True,False,False,True,False,False
46.47,4,34,0,222,0,2024,3,13,True,False,False,False,True,False,False,False,False,True,False,False
36.8,1,49,0,271,6,2024,2,20,True,False,False,False,False,False,True,False,False,False,False,True
92.87,2,16,0,223,11,2024,3,11,False,False,True,False,True,False,False,False,False,False,False,True
42.42,2,20,0,151,20,2024,2,6,True,False,False,False,False,False,True,False,False,False,False,True
27.84,2,61,0,94,17,2024,4,3,False,False,False,True,False,False,False,True,False,False,False,True
101.76,4,26,0,297,0,2024,1,26,False,False,True,False,False,True,False,False,False,False,True,False
181.74,1,38,0,311,19,2024,3,24,False,False,False,True,False,True,False,False,False,False,True,False
60.8,4,47,0,350,2,2024,2,1,True,False,False,False,False,False,True,False,False,False,False,True
206.49,2,39,0,61,14,2024,4,2,True,False,False,False,True,False,False,False,False,False,False,True
21.81,4,20,0,54,10,2024,3,21,True,False,False,False,True,False,False,False,False,True,False,False
76.52,1,39,0,336,9,2024,3,19,False,False,False,True,True,False,False,False,False,False,True,False
77.5,1,31,0,172,0,2024,1,12,True,False,False,False,False,False,False,False,True,False,False,True
518.6,3,39,0,162,21,2024,1,23,False,False,True,False,False,False,False,True,False,False,True,False
45.7,5,44,0,64,3,2024,3,4,False,False,True,False,False,False,False,False,True,True,False,False
121.61,1,46,0,218,21,2024,4,6,False,True,False,False,True,False,False,False,False,False,True,False
168.05,2,22,0,180,12,2024,3,11,True,False,False,False,True,False,False,False,False,True,False,False
437.31,3,50,0,177,0,2024,3,5,False,False,False,True,False,False,False,False,True,False,True,False
280.08,4,33,0,107,14,2024,2,4,False,True,False,False,False,False,False,False,True,False,True,False
190.88,2,46,0,288,6,2024,4,5,False,True,False,False,False,False,False,False,True,True,False,False
40.04,4,29,0,322,11,2024,2,27,False,False,True,False,False,False,True,False,False,False,False,True
1134.98,5,40,0,160,19,2024,2,26,True,False,False,False,False,True,False,False,False,True,False,False
105.43,4,49,0,156,10,2024,1,15,True,False,False,False,False,False,True,False,False,False,True,False
234.5,2,24,0,113,4,2024,2,9,False,True,False,False,True,False,False,False,False,False,True,False
314.19,2,18,0,302,0,2024,1,8,False,False,True,False,True,False,False,False,False,True,False,False
43.41,1,22,0,40,14,2024,3,6,False,False,True,False,False,True,False,False,False,False,True,False
64.81,2,34,0,245,6,2024,1,7,False,False,False,True,False,False,False,True,False,False,True,False
136.02,3,21,0,1,16,2024,2,28,False,False,False,True,False,False,True,False,False,True,False,False
396.25,3,34,0,268,22,2024,3,5,False,False,True,False,False,False,False,False,True,False,False,True
1213.92,1,18,0,354,11,2024,3,28,False,False,False,True,False,False,False,False,True,False,False,True
130.68,5,26,0,298,0,2024,3,13,True,False,False,False,False,False,False,False,True,False,True,False
165.89,5,45,0,100,10,2024,2,15,False,True,False,False,False,False,True,False,False,False,True,False
63.61,4,31,0,195,16,2024,2,7,False,False,False,True,False,False,False,False,True,False,False,True
123.24,2,27,0,40,1,2024,3,5,True,False,False,False,False,False,False,True,False,True,False,False
187.15,5,42,0,41,1,2024,3,5,False,False,True,False,False,False,False,True,False,False,False,True
60.22,5,30,0,68,9,2024,1,31,False,False,True,False,False,True,False,False,False,True,False,False
34.65,5,25,0,2,2,2024,1,2,False,False,False,True,False,False,False,False,True,True,False,False
86.54,5,41,0,32,9,2024,3,3,False,False,False,True,False,False,False,True,False,False,False,True
94.23,4,26,1,27,14,2024,3,11,False,True,False,False,False,False,True,False,False,False,False,True
123.18,4,36,0,127,4,2024,2,11,False,False,True,False,False,True,False,False,False,True,False,False
231.27,3,36,0,176,16,2024,4,1,False,False,True,False,False,False,False,False,True,False,False,True
198.64,5,32,0,262,5,2024,3,4,False,False,False,True,False,False,True,False,False,False,False,True
50.15,5,28,0,313,3,2024,3,25,False,True,False,False,True,False,False,False,False,True,False,False
372.97,5,33,0,320,4,2024,2,24,False,False,False,True,False,True,False,False,False,True,False,False
511.29,5,58,0,327,17,2024,2,18,True,False,False,False,True,False,False,False,False,False,False,True
268.44,3,31,0,145,9,2024,2,4,True,False,False,False,False,True,False,False,False,True,False,False
250.38,2,32,0,8,20,2024,2,28,False,False,True,False,False,False,False,False,True,True,False,False
127.8,5,39,0,104,14,2024,4,1,False,True,False,False,False,False,False,False,True,False,True,False
104.08,1,32,0,137,19,2024,3,3,False,True,False,False,True,False,False,False,False,True,False,False
55.69,2,33,0,118,18,2024,3,29,False,False,False,True,False,False,False,True,False,False,True,False
679.48,2,41,0,337,1,2024,3,22,True,False,False,False,False,False,False,False,True,False,False,True
113.17,1,18,0,188,21,2024,3,29,False,False,False,True,False,False,False,True,False,False,True,False
71.01,5,38,0,223,10,2024,2,2,True,False,False,False,True,False,False,False,False,True,False,False
196.82,4,51,0,232,17,2024,3,23,True,False,False,False,False,False,False,False,True,False,True,False
190.96,2,13,0,281,12,2024,1,15,False,False,False,True,False,True,False,False,False,True,False,False
10.6,4,43,0,155,17,2024,3,5,False,False,True,False,False,False,True,False,False,False,True,False
335.91,3,30,0,283,14,2024,2,7,True,False,False,False,True,False,False,False,False,False,True,False
272.91,3,39,0,19,2,2024,3,23,False,False,True,False,False,False,False,False,True,False,True,False
40.56,5,42,0,290,18,2024,2,23,False,False,True,False,False,False,True,False,False,True,False,False
34.4,2,41,0,313,7,2024,3,4,False,False,True,False,False,True,False,False,False,False,True,False
22.72,1,28,0,266,10,2024,4,1,False,False,True,False,False,False,False,False,True,False,True,False
17.41,3,37,0,3,13,2024,3,2,False,False,True,False,False,True,False,False,False,False,True,False
170.72,2,40,0,359,7,2024,4,5,False,False,False,True,False,False,False,True,False,False,False,True
292.37,1,38,0,179,14,2024,4,3,True,False,False,False,False,False,False,False,True,False,False,True
35.11,4,37,0,131,6,2024,4,6,False,False,False,True,False,True,False,False,False,True,False,False
319.62,2,35,0,256,12,2024,3,21,False,False,False,True,False,False,True,False,False,True,False,False
65.38,3,33,0,208,21,2024,2,13,False,True,False,False,True,False,False,False,False,False,False,True
195.39,4,27,0,151,15,2024,4,6,True,False,False,False,False,True,False,False,False,False,False,True
707.11,4,38,0,98,0,2024,3,27,True,False,False,False,False,False,False,False,True,False,False,True
113.97,4,26,0,223,5,2024,3,20,False,True,False,False,False,False,False,False,True,False,False,True
208.36,2,46,0,314,9,2024,3,27,False,False,False,True,False,False,False,True,False,True,False,False
409.62,5,54,0,80,2,2024,2,17,False,False,False,True,False,True,False,False,False,False,True,False
398.76,1,39,0,288,5,2024,1,9,False,False,True,False,False,True,False,False,False,True,False,False
70.93,4,52,1,182,0,2024,2,21,True,False,False,False,False,False,False,True,False,False,False,True
116.98,3,49,0,174,11,2024,3,30,True,False,False,False,True,False,False,False,False,False,True,False
1465.65,5,58,1,141,2,2024,2,21,False,False,False,True,False,False,False,False,True,True,False,False
95.05,1,45,0,184,6,2024,1,26,True,False,False,False,False,False,False,True,False,False,False,True
16.28,4,30,0,94,16,2024,3,15,True,False,False,False,False,False,False,False,True,True,False,False
58.93,5,31,0,51,17,2024,3,8,True,False,False,False,False,False,False,True,False,False,False,True
101.32,1,27,0,47,5,2024,3,23,False,False,False,True,False,False,True,False,False,True,False,False
62.18,2,32,0,64,19,2024,3,21,False,True,False,False,True,False,False,False,False,False,False,True
166.64,3,30,0,71,23,2024,4,2,False,False,False,True,False,True,False,False,False,False,False,True
36.71,2,38,0,182,6,2024,1,11,False,False,False,True,False,False,False,False,True,False,True,False
377.57,1,27,0,301,23,2024,4,4,False,False,False,True,False,False,True,False,False,True,False,False
101.53,2,30,0,4,19,2024,3,5,False,True,False,False,False,False,True,False,False,False,False,True
106.98,5,30,0,286,12,2024,1,13,False,False,True,False,False,False,False,True,False,False,True,False
304.29,2,29,0,346,18,2024,1,22,False,True,False,False,True,False,False,False,False,True,False,False
279.03,5,53,0,339,14,2024,2,4,True,False,False,False,True,False,False,False,False,True,False,False
22.34,5,29,0,216,1,2024,2,1,True,False,False,False,True,False,False,False,False,False,True,False
193.89,4,29,0,70,12,2024,2,7,True,False,False,False,False,True,False,False,False,False,False,True
13.78,4,30,0,164,21,2024,3,14,False,True,False,False,False,False,True,False,False,False,True,False
83.28,5,36,0,210,5,2024,3,11,False,False,False,True,False,False,False,False,True,False,False,True
25.28,1,33,0,44,21,2024,1,15,True,False,False,False,False,True,False,False,False,False,False,True
128.54,1,51,0,338,5,2024,2,16,False,True,False,False,False,False,False,False,True,True,False,False
352.32,5,38,0,212,14,2024,3,1,False,False,True,False,False,False,False,False,True,True,False,False
135.45,4,26,0,170,6,2024,1,16,False,False,False,True,True,False,False,False,False,True,False,False
414.78,1,54,0,338,21,2024,2,16,False,False,True,False,False,True,False,False,False,True,False,False
599.24,2,29,0,250,8,2024,2,25,False,False,True,False,False,False,True,False,False,True,False,False
453.66,1,18,0,58,9,2024,3,26,True,False,False,False,True,False,False,False,False,False,True,False
123.34,3,41,1,8,0,2024,3,9,False,False,True,False,False,False,False,False,True,True,False,False
50.14,1,49,0,89,0,2024,2,23,False,False,False,True,False,False,True,False,False,False,False,True
73.04,4,28,0,70,23,2024,3,7,False,False,False,True,False,False,False,True,False,False,False,True
202.69,4,19,0,327,10,2024,3,31,False,False,True,False,False,False,False,True,False,True,False,False
217.21,2,33,0,251,20,2024,1,4,False,True,False,False,True,False,False,False,False,True,False,False
21.26,4,25,0,192,1,2024,2,13,False,True,False,False,True,False,False,False,False,True,False,False
10.12,1,42,0,162,0,2024,4,6,False,False,True,False,True,False,False,False,False,True,False,False
32.05,4,35,0,168,13,2024,3,1,False,True,False,False,False,True,False,False,False,False,False,True
240.85,4,23,0,88,15,2024,2,21,False,True,False,False,False,False,False,True,False,False,True,False
116.14,2,46,0,332,9,2024,1,26,True,False,False,False,False,False,False,False,True,True,False,False
18.38,3,50,0,299,21,2024,3,7,False,True,False,False,False,False,False,True,False,False,True,False
103.41,1,31,0,9,12,2024,3,21,True,False,False,False,False,False,False,False,True,False,True,False
207.46,1,32,0,252,1,2024,2,8,False,False,True,False,False,False,True,False,False,False,False,True
170.7,5,38,0,260,18,2024,3,12,False,False,False,True,False,False,True,False,False,False,False,True
149.61,1,42,0,189,22,2024,1,3,True,False,False,False,True,False,False,False,False,False,True,False
94.88,1,42,0,129,7,2024,1,30,True,False,False,False,False,True,False,False,False,False,False,True
477.79,3,49,0,158,19,2024,2,20,False,True,False,False,False,False,False,False,True,True,False,False
385.19,5,42,0,147,8,2024,2,27,True,False,False,False,False,False,False,True,False,True,False,False
290.86,4,44,0,42,11,2024,1,21,False,True,False,False,False,False,False,False,True,False,False,True
363.77,1,24,0,354,18,2024,1,5,False,False,False,True,False,False,True,False,False,False,True,False
217.52,3,26,0,29,19,2024,4,4,False,False,True,False,False,False,False,True,False,False,False,True
263.47,3,27,0,260,4,2024,2,15,False,False,True,False,True,False,False,False,False,False,True,False
46.78,1,35,0,359,0,2024,1,16,True,False,False,False,False,False,False,False,True,False,True,False
409.12,2,46,0,215,12,2024,3,29,True,False,False,False,True,False,False,False,False,True,False,False
33.42,4,22,0,8,18,2024,3,27,False,True,False,False,True,False,False,False,False,False,True,False
338.3,4,37,0,182,22,2024,1,10,False,False,True,False,False,True,False,False,False,True,False,False
92.21,5,42,0,157,8,2024,1,3,False,False,False,True,True,False,False,False,False,False,True,False
147.88,4,44,0,58,6,2024,2,14,False,False,True,False,False,False,True,False,False,True,False,False
50.46,3,31,0,1,9,2024,2,20,False,False,True,False,False,False,False,True,False,False,False,True
17.88,4,28,0,15,2,2024,3,31,False,True,False,False,False,False,False,False,True,False,False,True
207.26,5,37,0,50,8,2024,2,28,False,False,True,False,False,True,False,False,False,False,True,False
156.39,2,26,0,345,20,2024,3,27,False,False,False,True,True,False,False,False,False,False,False,True
295.33,2,20,0,150,3,2024,1,17,False,False,True,False,False,False,False,False,True,False,True,False
293.43,4,40,0,216,0,2024,2,26,True,False,False,False,True,False,False,False,False,True,False,False
901.2,1,51,0,145,4,2024,2,25,False,False,False,True,False,True,False,False,False,False,True,False
421.93,2,33,0,226,6,2024,3,25,False,True,False,False,False,False,True,False,False,True,False,False
123.88,3,30,0,283,20,2024,3,24,True,False,False,False,False,False,False,True,False,True,False,False
258.9,1,33,0,185,23,2024,1,17,True,False,False,False,True,False,False,False,False,True,False,False
29.8,1,31,0,24,0,2024,3,13,False,False,True,False,False,False,True,False,False,False,False,True
1042.4,4,40,1,26,4,2024,3,22,True,False,False,False,False,False,False,False,True,False,False,True
12.31,1,45,0,177,6,2024,3,14,False,True,False,False,False,False,False,True,False,False,False,True
48.19,4,24,0,261,11,2024,2,14,False,False,False,True,False,False,False,True,False,False,True,False
450.68,3,34,0,174,10,2024,3,9,False,True,False,False,False,False,True,False,False,True,False,False
101.65,3,27,0,243,15,2024,1,15,False,False,False,True,False,False,False,True,False,False,True,False
122.15,4,54,0,66,12,2024,1,17,False,True,False,False,False,False,True,False,False,True,False,False
350.16,4,29,0,276,14,2024,1,23,False,True,False,False,False,False,True,False,False,False,True,False
337.11,3,46,0,101,0,2024,2,18,True,False,False,False,True,False,False,False,False,False,False,True
919.47,4,33,0,177,21,2024,4,3,False,False,True,False,False,False,False,False,True,True,False,False
68.85,5,52,0,39,14,2024,3,19,False,True,False,False,False,False,True,False,False,False,True,False
169.95,1,30,0,234,21,2024,3,3,True,False,False,False,False,False,True,False,False,False,False,True
40.27,3,43,0,108,4,2024,3,22,True,False,False,False,False,True,False,False,False,False,True,False
179.22,1,32,0,12,0,2024,1,23,True,False,False,False,True,False,False,False,False,True,False,False
142.37,4,49,0,226,17,2024,2,26,False,True,False,False,False,False,False,False,True,False,False,True
431.69,4,29,0,338,4,2024,1,21,True,False,False,False,False,False,True,False,False,False,True,False
61.23,4,30,0,114,17,2024,2,16,False,False,False,True,False,True,False,False,False,False,False,True
32.71,4,23,0,80,0,2024,2,17,False,True,False,False,False,False,False,False,True,False,True,False
424.36,1,28,0,277,23,2024,1,18,True,False,False,False,False,False,False,False,True,True,False,False
14.24,5,37,0,127,0,2024,4,7,False,True,False,False,False,False,False,True,False,True,False,False
23.95,2,36,0,88,20,2024,1,28,False,False,False,True,False,False,False,False,True,True,False,False
464.04,4,31,0,52,23,2024,3,3,False,True,False,False,False,False,True,False,False,False,True,False
208.86,1,32,0,150,11,2024,1,19,False,False,True,False,False,False,True,False,False,False,False,True
227.18,2,32,0,5,3,2024,1,12,False,False,True,False,True,False,False,False,False,False,False,True
13.2,1,48,0,321,0,2024,1,20,True,False,False,False,False,False,True,False,False,False,False,True
240.46,1,36,0,106,7,2024,2,27,True,False,False,False,False,False,False,True,False,False,True,False
74.99,4,28,0,243,7,2024,1,7,False,True,False,False,False,False,False,False,True,True,False,False
83.57,1,29,0,272,12,2024,2,14,False,False,True,False,False,False,False,False,True,False,True,False
68.61,3,32,0,116,19,2024,1,5,False,True,False,False,False,False,True,False,False,False,True,False
233.38,3,39,0,274,12,2024,2,24,False,False,True,False,False,False,True,False,False,False,False,True
305.97,4,24,0,174,14,2024,2,25,False,False,True,False,False,True,False,False,False,False,True,False
104.78,3,35,1,26,4,2024,3,15,True,False,False,False,False,False,True,False,False,False,True,False
436.93,4,43,0,108,2,2024,4,2,True,False,False,False,False,False,True,False,False,False,False,True
84.8,2,25,0,205,7,2024,3,31,False,False,True,False,False,False,False,False,True,False,False,True
299.08,5,21,0,361,3,2024,4,3,True,False,False,False,False,True,False,False,False,False,False,True
