trxn_amt,pmt_method,product_cat,qty,cust_age,cust_loc,cust_device,fraudulent,acct_age_days,trxn_hour,year,month,day
679.85,credit card,electronics,5,24,New Thomasmouth,tablet,0,179,21,2024,1,18
416.46,credit card,clothing,1,41,Tylerside,mobile,0,234,22,2024,1,12
126.99,bank transfer,clothing,1,34,Welchview,mobile,0,175,21,2024,3,16
58.34,PayPal,electronics,2,47,Parkerborough,mobile,0,224,11,2024,1,15
40.56,debit card,electronics,2,32,Michaelchester,tablet,0,232,4,2024,3,19
50.27,bank transfer,health & beauty,3,39,New Omar,tablet,0,44,1,2024,2,17
98.96,PayPal,electronics,2,47,Melanieport,tablet,0,195,20,2024,3,11
85.46,debit card,toys & games,3,17,New David,mobile,0,65,2,2024,2,21
270.37,bank transfer,health & beauty,2,25,Port Rebecca,tablet,0,345,7,2024,2,9
39.58,debit card,electronics,4,41,Port Cynthia,desktop,0,151,3,2024,3,12
86.6,bank transfer,home & garden,5,20,Carterbury,desktop,0,47,5,2024,3,10
153.8,debit card,home & garden,2,31,Danielleburgh,mobile,0,124,12,2024,1,10
25.72,credit card,clothing,5,40,South Kathy,desktop,0,228,6,2024,1,16
12.95,credit card,health & beauty,3,32,South Michaela,desktop,0,196,9,2024,1,25
633.19,bank transfer,electronics,3,20,Markhaven,desktop,0,197,2,2024,2,23
669.81,bank transfer,electronics,4,36,Lake Cynthia,tablet,0,179,1,2024,3,21
93.52,credit card,electronics,1,31,Rushfurt,desktop,0,328,12,2024,2,6
218.66,credit card,toys & games,3,45,East Barbara,desktop,0,96,18,2024,4,5
664.32,debit card,clothing,3,26,Michelleview,desktop,0,336,10,2024,1,31
120.59,credit card,health & beauty,1,44,Lake Jared,mobile,0,68,0,2024,2,4
224.9,bank transfer,health & beauty,2,36,Gibsonview,desktop,0,199,13,2024,3,24
159.0,debit card,home & garden,3,28,Port Laura,desktop,0,148,22,2024,3,3
672.55,bank transfer,health & beauty,3,43,Brownfort,desktop,0,340,2,2024,1,18
511.49,PayPal,clothing,4,46,South Adamport,desktop,0,52,4,2024,3,16
11.97,bank transfer,health & beauty,5,43,New Antonio,mobile,0,280,6,2024,2,7
241.73,credit card,health & beauty,4,45,South Joseph,tablet,0,4,18,2024,3,2
45.76,PayPal,health & beauty,3,43,Blanchardstad,mobile,0,92,2,2024,3,16
86.88,PayPal,home & garden,1,31,Johnfurt,desktop,0,298,16,2024,4,3
25.33,PayPal,toys & games,2,25,Josephberg,mobile,0,297,13,2024,2,13
183.64,credit card,clothing,2,41,West Vincent,tablet,0,79,11,2024,1,22
38.71,credit card,health & beauty,1,44,Savannahstad,mobile,0,229,18,2024,3,15
95.39,PayPal,clothing,4,37,Garciabury,desktop,0,315,21,2024,1,4
15.33,bank transfer,home & garden,5,17,North Michaelstad,desktop,0,14,1,2024,3,28
196.86,PayPal,home & garden,5,50,East Victorfurt,tablet,0,94,13,2024,4,2
227.67,PayPal,health & beauty,3,45,East Joseph,desktop,0,31,5,2024,1,18
387.35,PayPal,home & garden,3,41,Rochashire,mobile,0,30,9,2024,1,27
236.13,PayPal,toys & games,5,15,Lorettamouth,tablet,0,255,7,2024,2,23
189.69,PayPal,home & garden,2,28,Jamiefort,desktop,0,304,16,2024,2,7
201.11,PayPal,home & garden,4,37,Jessicashire,desktop,0,34,6,2024,2,28
34.73,credit card,toys & games,1,29,West Jacqueline,desktop,0,100,15,2024,2,14
241.31,debit card,clothing,1,47,Jayberg,desktop,0,3,12,2024,1,14
41.63,credit card,home & garden,2,44,Samueltown,desktop,0,238,9,2024,1,14
106.34,debit card,electronics,2,24,Weaverfort,mobile,0,38,16,2024,3,21
260.59,credit card,clothing,1,42,North Dawnstad,desktop,0,306,2,2024,3,22
118.37,credit card,clothing,4,31,North Johnview,mobile,0,58,7,2024,2,21
29.81,credit card,clothing,1,23,Michaelfurt,tablet,0,261,13,2024,3,29
133.73,bank transfer,home & garden,3,41,Alexandramouth,tablet,0,126,6,2024,4,5
406.36,credit card,toys & games,4,36,Jasonmouth,mobile,0,20,7,2024,3,8
369.52,credit card,home & garden,4,49,Rebeccachester,mobile,0,307,16,2024,3,3
319.71,bank transfer,home & garden,1,42,Paynebury,mobile,0,91,9,2024,3,1
307.37,bank transfer,home & garden,2,32,North Hollystad,desktop,1,166,19,2024,1,20
62.27,PayPal,health & beauty,1,25,Bassshire,mobile,0,159,3,2024,1,8
150.43,credit card,home & garden,4,39,Jasonport,desktop,0,43,17,2024,3,25
30.32,bank transfer,toys & games,2,45,Lake Markland,mobile,0,339,8,2024,1,24
85.85,PayPal,electronics,1,47,Steeleshire,tablet,0,356,3,2024,4,7
139.6,debit card,electronics,5,45,North Phillip,mobile,0,300,6,2024,3,12
148.16,PayPal,health & beauty,5,25,North Laura,tablet,0,99,15,2024,1,12
725.62,bank transfer,clothing,1,29,Amandashire,tablet,0,152,12,2024,2,3
348.88,bank transfer,home & garden,3,39,Christophertown,mobile,0,143,14,2024,3,1
213.2,debit card,health & beauty,2,27,Lake Douglasport,mobile,0,218,17,2024,4,1
190.99,debit card,health & beauty,2,34,Millerville,tablet,0,136,5,2024,3,25
472.03,PayPal,toys & games,2,23,New Deborah,desktop,0,73,3,2024,3,4
41.27,debit card,home & garden,4,40,North Kelliport,desktop,0,204,17,2024,1,22
144.69,debit card,home & garden,2,38,East Jamesview,mobile,0,34,11,2024,1,14
214.82,debit card,clothing,4,38,Andersenfort,mobile,0,365,0,2024,2,21
23.73,bank transfer,clothing,5,42,New Kathyton,tablet,0,192,22,2024,3,3
186.01,PayPal,health & beauty,1,39,Williamsburgh,desktop,0,273,8,2024,1,19
46.47,PayPal,clothing,4,34,Codyburgh,desktop,0,222,0,2024,3,13
36.8,PayPal,health & beauty,1,49,Taylormouth,tablet,0,271,6,2024,2,20
92.87,credit card,clothing,2,16,Robertport,tablet,0,223,11,2024,3,11
42.42,PayPal,health & beauty,2,20,Parkermouth,tablet,0,151,20,2024,2,6
27.84,debit card,home & garden,2,61,Jonathanstad,tablet,0,94,17,2024,4,3
101.76,credit card,electronics,4,26,East Jennifer,mobile,0,297,0,2024,1,26
181.74,debit card,electronics,1,38,Nathantown,mobile,0,311,19,2024,3,24
60.8,PayPal,health & beauty,4,47,Lake Catherinehaven,tablet,0,350,2,2024,2,1
206.49,PayPal,clothing,2,39,West Mariafort,tablet,0,61,14,2024,4,2
21.81,PayPal,clothing,4,20,Emilyton,desktop,0,54,10,2024,3,21
76.52,debit card,clothing,1,39,Goldentown,mobile,0,336,9,2024,3,19
77.5,PayPal,toys & games,1,31,West Donaldhaven,tablet,0,172,0,2024,1,12
518.6,credit card,home & garden,3,39,Lake Tara,mobile,0,162,21,2024,1,23
45.7,credit card,toys & games,5,44,South Timothy,desktop,0,64,3,2024,3,4
121.61,bank transfer,clothing,1,46,Carlsonburgh,mobile,0,218,21,2024,4,6
168.05,PayPal,clothing,2,22,Changborough,desktop,0,180,12,2024,3,11
437.31,debit card,toys & games,3,50,Peterchester,mobile,0,177,0,2024,3,5
280.08,bank transfer,toys & games,4,33,Robinsontown,mobile,0,107,14,2024,2,4
190.88,bank transfer,toys & games,2,46,East Jeremyberg,desktop,0,288,6,2024,4,5
40.04,credit card,health & beauty,4,29,East David,tablet,0,322,11,2024,2,27
1134.98,PayPal,electronics,5,40,Lake Brookeborough,desktop,0,160,19,2024,2,26
105.43,PayPal,health & beauty,4,49,Jenniferchester,mobile,0,156,10,2024,1,15
234.5,bank transfer,clothing,2,24,Nathanborough,mobile,0,113,4,2024,2,9
314.19,credit card,clothing,2,18,Port Karenberg,desktop,0,302,0,2024,1,8
43.41,credit card,electronics,1,22,New Nathanburgh,mobile,0,40,14,2024,3,6
64.81,debit card,home & garden,2,34,North Anthonyport,mobile,0,245,6,2024,1,7
136.02,debit card,health & beauty,3,21,Katiemouth,desktop,0,1,16,2024,2,28
396.25,credit card,toys & games,3,34,Palmerton,tablet,0,268,22,2024,3,5
1213.92,debit card,toys & games,1,18,Carterberg,tablet,0,354,11,2024,3,28
130.68,PayPal,toys & games,5,26,Acevedomouth,mobile,0,298,0,2024,3,13
165.89,bank transfer,health & beauty,5,45,South Josephhaven,mobile,0,100,10,2024,2,15
63.61,debit card,toys & games,4,31,Lopezville,tablet,0,195,16,2024,2,7
123.24,PayPal,home & garden,2,27,Katherineland,desktop,0,40,1,2024,3,5
187.15,credit card,home & garden,5,42,Curtisville,tablet,0,41,1,2024,3,5
60.22,credit card,electronics,5,30,Marcborough,desktop,0,68,9,2024,1,31
34.65,debit card,toys & games,5,25,East Lorettaberg,desktop,0,2,2,2024,1,2
86.54,debit card,home & garden,5,41,Salinasburgh,tablet,0,32,9,2024,3,3
94.23,bank transfer,health & beauty,4,26,Scotthaven,tablet,1,27,14,2024,3,11
123.18,credit card,electronics,4,36,Alyssaberg,desktop,0,127,4,2024,2,11
231.27,credit card,toys & games,3,36,East Amandaville,tablet,0,176,16,2024,4,1
198.64,debit card,health & beauty,5,32,New Edwintown,tablet,0,262,5,2024,3,4
50.15,bank transfer,clothing,5,28,Lake Carol,desktop,0,313,3,2024,3,25
372.97,debit card,electronics,5,33,Johnside,desktop,0,320,4,2024,2,24
511.29,PayPal,clothing,5,58,Hobbsland,tablet,0,327,17,2024,2,18
268.44,PayPal,electronics,3,31,Josephburgh,desktop,0,145,9,2024,2,4
250.38,credit card,toys & games,2,32,Port Luisfurt,desktop,0,8,20,2024,2,28
127.8,bank transfer,toys & games,5,39,New Todd,mobile,0,104,14,2024,4,1
104.08,bank transfer,clothing,1,32,North Mallory,desktop,0,137,19,2024,3,3
55.69,debit card,home & garden,2,33,West George,mobile,0,118,18,2024,3,29
679.48,PayPal,toys & games,2,41,Taylorside,tablet,0,337,1,2024,3,22
113.17,debit card,home & garden,1,18,East Sierra,mobile,0,188,21,2024,3,29
71.01,PayPal,clothing,5,38,Richardtown,desktop,0,223,10,2024,2,2
196.82,PayPal,toys & games,4,51,South Erica,mobile,0,232,17,2024,3,23
190.96,debit card,electronics,2,13,Lake Kevin,desktop,0,281,12,2024,1,15
10.6,credit card,health & beauty,4,43,West Christopher,mobile,0,155,17,2024,3,5
335.91,PayPal,clothing,3,30,Mooremouth,mobile,0,283,14,2024,2,7
272.91,credit card,toys & games,3,39,South Chelsea,mobile,0,19,2,2024,3,23
40.56,credit card,health & beauty,5,42,Port Adamhaven,desktop,0,290,18,2024,2,23
34.4,credit card,electronics,2,41,South Kathleen,mobile,0,313,7,2024,3,4
22.72,credit card,toys & games,1,28,Pamelashire,mobile,0,266,10,2024,4,1
17.41,credit card,electronics,3,37,Johnsonport,mobile,0,3,13,2024,3,2
170.72,debit card,home & garden,2,40,Natalieburgh,tablet,0,359,7,2024,4,5
292.37,PayPal,toys & games,1,38,Lesliemouth,tablet,0,179,14,2024,4,3
35.11,debit card,electronics,4,37,Raymondport,desktop,0,131,6,2024,4,6
319.62,debit card,health & beauty,2,35,Adrianburgh,desktop,0,256,12,2024,3,21
65.38,bank transfer,clothing,3,33,New Jacobfurt,tablet,0,208,21,2024,2,13
195.39,PayPal,electronics,4,27,South Julia,tablet,0,151,15,2024,4,6
707.11,PayPal,toys & games,4,38,East Shawnstad,tablet,0,98,0,2024,3,27
113.97,bank transfer,toys & games,4,26,Lake Julie,tablet,0,223,5,2024,3,20
208.36,debit card,home & garden,2,46,West Steven,desktop,0,314,9,2024,3,27
409.62,debit card,electronics,5,54,Dianabury,mobile,0,80,2,2024,2,17
398.76,credit card,electronics,1,39,Christineborough,desktop,0,288,5,2024,1,9
70.93,PayPal,home & garden,4,52,Stephenfort,tablet,1,182,0,2024,2,21
116.98,PayPal,clothing,3,49,Parkshaven,mobile,0,174,11,2024,3,30
1465.65,debit card,toys & games,5,58,East John,desktop,1,141,2,2024,2,21
95.05,PayPal,home & garden,1,45,Jordanburgh,tablet,0,184,6,2024,1,26
16.28,PayPal,toys & games,4,30,Nathanmouth,desktop,0,94,16,2024,3,15
58.93,PayPal,home & garden,5,31,New Erik,tablet,0,51,17,2024,3,8
101.32,debit card,health & beauty,1,27,Leslietown,desktop,0,47,5,2024,3,23
62.18,bank transfer,clothing,2,32,North Melaniehaven,tablet,0,64,19,2024,3,21
166.64,debit card,electronics,3,30,Murphyberg,tablet,0,71,23,2024,4,2
36.71,debit card,toys & games,2,38,New Megan,mobile,0,182,6,2024,1,11
377.57,debit card,health & beauty,1,27,Phillipsland,desktop,0,301,23,2024,4,4
101.53,bank transfer,health & beauty,2,30,Rebeccabury,tablet,0,4,19,2024,3,5
106.98,credit card,home & garden,5,30,Dennisberg,mobile,0,286,12,2024,1,13
304.29,bank transfer,clothing,2,29,West Charlesport,desktop,0,346,18,2024,1,22
279.03,PayPal,clothing,5,53,New Josephborough,desktop,0,339,14,2024,2,4
22.34,PayPal,clothing,5,29,South Jennifer,mobile,0,216,1,2024,2,1
193.89,PayPal,electronics,4,29,Jonathanshire,tablet,0,70,12,2024,2,7
13.78,bank transfer,health & beauty,4,30,Port Mary,mobile,0,164,21,2024,3,14
83.28,debit card,toys & games,5,36,Laurenfort,tablet,0,210,5,2024,3,11
25.28,PayPal,electronics,1,33,Michellefurt,tablet,0,44,21,2024,1,15
128.54,bank transfer,toys & games,1,51,Katieborough,desktop,0,338,5,2024,2,16
352.32,credit card,toys & games,5,38,Rodriguezmouth,desktop,0,212,14,2024,3,1
135.45,debit card,clothing,4,26,East Aaronberg,desktop,0,170,6,2024,1,16
414.78,credit card,electronics,1,54,East Patricia,desktop,0,338,21,2024,2,16
599.24,credit card,health & beauty,2,29,Brianshire,desktop,0,250,8,2024,2,25
453.66,PayPal,clothing,1,18,East Darius,mobile,0,58,9,2024,3,26
123.34,credit card,toys & games,3,41,Williamsfort,desktop,1,8,0,2024,3,9
50.14,debit card,health & beauty,1,49,New Juliefort,tablet,0,89,0,2024,2,23
73.04,debit card,home & garden,4,28,North Dustinport,tablet,0,70,23,2024,3,7
202.69,credit card,home & garden,4,19,Smithbury,desktop,0,327,10,2024,3,31
217.21,bank transfer,clothing,2,33,Dorisfort,desktop,0,251,20,2024,1,4
21.26,bank transfer,clothing,4,25,Kristinaburgh,desktop,0,192,1,2024,2,13
10.12,credit card,clothing,1,42,New Phyllis,desktop,0,162,0,2024,4,6
32.05,bank transfer,electronics,4,35,Peterland,tablet,0,168,13,2024,3,1
240.85,bank transfer,home & garden,4,23,Bassfurt,mobile,0,88,15,2024,2,21
116.14,PayPal,toys & games,2,46,Port Katherine,desktop,0,332,9,2024,1,26
18.38,bank transfer,home & garden,3,50,Katherineland,mobile,0,299,21,2024,3,7
103.41,PayPal,toys & games,1,31,East Jennifer,mobile,0,9,12,2024,3,21
207.46,credit card,health & beauty,1,32,Martinside,tablet,0,252,1,2024,2,8
170.7,debit card,health & beauty,5,38,Bryantville,tablet,0,260,18,2024,3,12
149.61,PayPal,clothing,1,42,Jamesport,mobile,0,189,22,2024,1,3
94.88,PayPal,electronics,1,42,West Gerald,tablet,0,129,7,2024,1,30
477.79,bank transfer,toys & games,3,49,North Feliciaton,desktop,0,158,19,2024,2,20
385.19,PayPal,home & garden,5,42,South Davidstad,desktop,0,147,8,2024,2,27
290.86,bank transfer,toys & games,4,44,Juliemouth,tablet,0,42,11,2024,1,21
363.77,debit card,health & beauty,1,24,Mosleybury,mobile,0,354,18,2024,1,5
217.52,credit card,home & garden,3,26,Patrickberg,tablet,0,29,19,2024,4,4
263.47,credit card,clothing,3,27,West Christopher,mobile,0,260,4,2024,2,15
46.78,PayPal,toys & games,1,35,Lopezfurt,mobile,0,359,0,2024,1,16
409.12,PayPal,clothing,2,46,Stacystad,desktop,0,215,12,2024,3,29
33.42,bank transfer,clothing,4,22,Marshburgh,mobile,0,8,18,2024,3,27
338.3,credit card,electronics,4,37,Marytown,desktop,0,182,22,2024,1,10
92.21,debit card,clothing,5,42,Willismouth,mobile,0,157,8,2024,1,3
147.88,credit card,health & beauty,4,44,West Keithmouth,desktop,0,58,6,2024,2,14
50.46,credit card,home & garden,3,31,Jesusborough,tablet,0,1,9,2024,2,20
17.88,bank transfer,toys & games,4,28,Markhaven,tablet,0,15,2,2024,3,31
207.26,credit card,electronics,5,37,Gilbertshire,mobile,0,50,8,2024,2,28
156.39,debit card,clothing,2,26,Tinaside,tablet,0,345,20,2024,3,27
295.33,credit card,toys & games,2,20,East Lisabury,mobile,0,150,3,2024,1,17
293.43,PayPal,clothing,4,40,West Christopherhaven,desktop,0,216,0,2024,2,26
901.2,debit card,electronics,1,51,Pughhaven,mobile,0,145,4,2024,2,25
421.93,bank transfer,health & beauty,2,33,Thomasland,desktop,0,226,6,2024,3,25
123.88,PayPal,home & garden,3,30,Julieland,desktop,0,283,20,2024,3,24
258.9,PayPal,clothing,1,33,Fordborough,desktop,0,185,23,2024,1,17
29.8,credit card,health & beauty,1,31,New Jennifer,tablet,0,24,0,2024,3,13
1042.4,PayPal,toys & games,4,40,Vaughanmouth,tablet,1,26,4,2024,3,22
12.31,bank transfer,home & garden,1,45,Jessicastad,tablet,0,177,6,2024,3,14
48.19,debit card,home & garden,4,24,West Alexisside,mobile,0,261,11,2024,2,14
450.68,bank transfer,health & beauty,3,34,East Christopher,desktop,0,174,10,2024,3,9
101.65,debit card,home & garden,3,27,Ryanside,mobile,0,243,15,2024,1,15
122.15,bank transfer,health & beauty,4,54,New Courtney,desktop,0,66,12,2024,1,17
350.16,bank transfer,health & beauty,4,29,South Thomasport,mobile,0,276,14,2024,1,23
337.11,PayPal,clothing,3,46,South Mitchellton,tablet,0,101,0,2024,2,18
919.47,credit card,toys & games,4,33,West Christinefort,desktop,0,177,21,2024,4,3
68.85,bank transfer,health & beauty,5,52,Lake Jeanette,mobile,0,39,14,2024,3,19
169.95,PayPal,health & beauty,1,30,South Sophiachester,tablet,0,234,21,2024,3,3
40.27,PayPal,electronics,3,43,Estesborough,mobile,0,108,4,2024,3,22
179.22,PayPal,clothing,1,32,East Rhonda,desktop,0,12,0,2024,1,23
142.37,bank transfer,toys & games,4,49,West James,tablet,0,226,17,2024,2,26
431.69,PayPal,health & beauty,4,29,North Jeffreymouth,mobile,0,338,4,2024,1,21
61.23,debit card,electronics,4,30,Port Lauren,tablet,0,114,17,2024,2,16
32.71,bank transfer,toys & games,4,23,Sanderston,mobile,0,80,0,2024,2,17
424.36,PayPal,toys & games,1,28,Lake Patriciaton,desktop,0,277,23,2024,1,18
14.24,bank transfer,home & garden,5,37,North Robertmouth,desktop,0,127,0,2024,4,7
23.95,debit card,toys & games,2,36,Watkinstown,desktop,0,88,20,2024,1,28
464.04,bank transfer,health & beauty,4,31,West Timothy,mobile,0,52,23,2024,3,3
208.86,credit card,health & beauty,1,32,South Waynestad,tablet,0,150,11,2024,1,19
227.18,credit card,clothing,2,32,Shortchester,tablet,0,5,3,2024,1,12
13.2,PayPal,health & beauty,1,48,North Michael,tablet,0,321,0,2024,1,20
240.46,PayPal,home & garden,1,36,Jamesmouth,mobile,0,106,7,2024,2,27
74.99,bank transfer,toys & games,4,28,Nelsonland,desktop,0,243,7,2024,1,7
83.57,credit card,toys & games,1,29,Port Derrick,mobile,0,272,12,2024,2,14
68.61,bank transfer,health & beauty,3,32,Diazfurt,mobile,0,116,19,2024,1,5
233.38,credit card,health & beauty,3,39,Smithstad,tablet,0,274,12,2024,2,24
305.97,credit card,electronics,4,24,North Meganland,mobile,0,174,14,2024,2,25
104.78,PayPal,health & beauty,3,35,West Davidmouth,mobile,1,26,4,2024,3,15
436.93,PayPal,health & beauty,4,43,Kathyville,tablet,0,108,2,2024,4,2
84.8,credit card,toys & games,2,25,East Jonathonburgh,tablet,0,205,7,2024,3,31
299.08,PayPal,electronics,5,21,Lake Katherinemouth,tablet,0,361,3,2024,4,3
370.56,PayPal,home & garden,2,29,Barberstad,mobile,0,134,4,2024,1,27
58.47,PayPal,home & garden,4,36,Kristabury,tablet,0,224,19,2024,1,4
543.37,debit card,health & beauty,3,30,North Maria,mobile,0,172,19,2024,2,14
55.14,PayPal,home & garden,1,29,West Andrea,tablet,0,138,16,2024,1,9
17.88,bank transfer,home & garden,5,41,Stephaniefurt,mobile,0,266,12,2024,3,8
862.54,bank transfer,toys & games,1,41,East Tylermouth,desktop,0,207,6,2024,2,3
177.16,bank transfer,clothing,2,27,South Kennethfort,desktop,0,333,9,2024,3,21
39.81,debit card,health & beauty,5,33,Lake Michaelborough,desktop,0,48,1,2024,3,22
303.61,bank transfer,home & garden,4,40,Lopezview,desktop,0,57,0,2024,1,26
263.12,debit card,toys & games,5,29,Pittsberg,mobile,0,97,21,2024,1,28
418.72,debit card,electronics,2,42,Lake Douglasside,desktop,0,182,20,2024,1,22
78.66,PayPal,toys & games,2,28,Smithfurt,desktop,0,137,13,2024,3,26
228.32,credit card,clothing,1,17,New Sarah,tablet,0,308,17,2024,2,10
16.78,PayPal,electronics,2,23,Hernandezshire,tablet,0,59,5,2024,4,7
69.26,PayPal,clothing,5,48,Port April,mobile,1,345,21,2024,3,13
473.56,bank transfer,electronics,3,24,Nathanielside,mobile,0,224,20,2024,2,11
171.76,debit card,clothing,4,39,Rodriguezland,mobile,0,180,20,2024,1,15
114.72,bank transfer,electronics,2,51,Port Janet,tablet,0,189,8,2024,1,27
73.44,credit card,electronics,3,30,Ramirezhaven,desktop,0,148,12,2024,3,3
157.88,credit card,electronics,3,29,Gardnerstad,desktop,0,109,2,2024,2,11
176.34,credit card,clothing,3,31,Tannerberg,mobile,0,46,19,2024,2,15
118.43,credit card,health & beauty,3,27,Port Autumnbury,tablet,0,7,4,2024,1,16
41.11,PayPal,health & beauty,5,43,West Heiditown,tablet,0,73,23,2024,2,5
134.74,debit card,health & beauty,4,37,Rossmouth,mobile,0,124,13,2024,1,3
170.78,debit card,electronics,1,42,New Danielmouth,desktop,0,295,1,2024,3,17
273.18,credit card,clothing,2,23,North Brianstad,mobile,0,55,3,2024,2,24
16.17,PayPal,clothing,1,45,Port Edward,tablet,0,271,6,2024,3,30
61.16,debit card,home & garden,2,38,Richardschester,mobile,0,287,11,2024,3,15
123.22,debit card,health & beauty,2,49,Kelleyside,desktop,0,16,21,2024,1,13
111.45,debit card,health & beauty,4,21,New Donald,tablet,0,98,5,2024,3,7
129.85,credit card,toys & games,4,48,Craigland,mobile,0,92,12,2024,4,3
90.91,PayPal,electronics,5,17,Michellemouth,mobile,0,323,8,2024,3,7
